city,land area,land,INTPTLAT,INTPTLONG
Brookshire,4.33,11213444,29.782391,-95.951441
Brookside Village,2.043,5290138,29.590842,-95.317967
Brookston,0.736,1906254,33.62349,-95.700053
Browndell,2.444,6328673,31.125373,-93.980137
Brownfield,6.512,16866566,33.175514,-102.273429
Brownsboro,2.373,6145168,32.29842,-95.613042
Brownsville,133.392,345483920,25.995689,-97.450848
Brownwood,14.921,38644347,31.712856,-98.977053
Bruceville-Eddy,4.134,10706016,31.308005,-97.257385
Brundage,0.611,1582727,28.573965,-99.670131
Bruni,1.315,3404990,27.428162,-98.832213
Brushy Creek,6.445,16692409,30.51283,-97.739358
Bryan,55.35,143355383,30.666016,-96.381049
Bryson,1.316,3407572,33.165636,-98.388799
Buchanan Dam,7.746,20062329,30.815674,-98.452687
Buchanan Lake Village,1.488,3852965,30.8602,-98.434312
Buckholts,1.359,3518780,30.873986,-97.128873
Buda,9.615,24902701,30.080402,-97.8557
Buena Vista,0.033,84575,26.294139,-98.610884
Buffalo,4.71,12197558,31.458905,-96.066163
Buffalo Gap,2.433,6302520,32.283345,-99.834245
Buffalo Springs Lake village,1.509,3908539,33.53373,-101.697632
Bullard,4.188,10847894,32.144166,-95.317515
Bulverde,15.811,40950396,29.774485,-98.434959
Buna,5.994,15524069,30.442708,-93.960657
Bunker Hill Village,1.442,3734401,29.764761,-95.531742
Burkburnett,11.365,29435039,34.074898,-98.567286
Burke,2.816,7292769,31.235727,-94.764823
Burleson,29.181,75577510,32.516453,-97.327374
Burlington,4.02,10411508,31.004604,-96.991485
Burnet,10.495,27181266,30.7506,-98.238227
Burton,1.184,3067045,30.185803,-96.603124
Bushland,5.975,15474234,35.202905,-102.059002
Butterfield,3.224,8349810,31.842626,-106.082195
Byers,0.994,2575193,34.069171,-98.190931
Bynum,0.134,346855,31.969071,-97.003078
Cactus,2.131,5519765,36.044376,-102.00803
Caddo Mills,5.16,13365372,33.074543,-96.226924
Cade Lakes,1.878,4862961,30.515054,-96.773377
Caldwell,4.28,11084140,30.529807,-96.699724
Callender Lake,4.133,10705104,32.363231,-95.69904
Callisburg,2.048,5303428,33.698711,-97.015918
Calvert,3.89,10074878,30.979149,-96.671542
Camargito,0.074,191072,26.345219,-98.738798
Cameron,5.239,13567870,30.860768,-96.976198
Cameron Park,0.545,1412661,25.97141,-97.478173
Campbell,1.335,3458198,33.147584,-95.954893
Campo Verde,0.033,85737,26.391658,-98.913979
Camp Swift,12.08,31288051,30.188147,-97.293207
Camp Wood,0.504,1304141,29.669047,-100.010865
Canadian,1.298,3362788,35.909678,-100.38388
Caney,1.152,2984605,32.209619,-96.038142
Canton,6.161,15957880,32.554245,-95.863534
Cantu Addition,0.301,779507,27.201993,-98.155678
Canutillo,2.746,7112287,31.918485,-106.601062
Canyon,8.076,20915641,34.990291,-101.918951
Canyon Creek,2.353,6095256,32.390978,-97.73938
Canyon Lake,142.712,369623518,29.875778,-98.26118
Cape Royale,1.965,5089878,30.653387,-95.130627
Carbon,1.024,2653152,32.268405,-98.827196
Carlsbad,1.553,4022065,31.611248,-100.640647
Carl's Corner,3.137,8123714,32.083891,-97.053229
Carlton,0.783,2027749,31.919666,-98.17143
Carmine,1.637,4240167,30.148534,-96.690681
Carrizo Hill,0.48,1243819,28.50502,-99.83114
Carrizo Springs,3.09,8004180,28.525843,-99.859255
Carrollton,36.657,94939944,32.989386,-96.89994
Carter,6.427,16645456,32.917851,-97.739698
Carthage,10.66,27610403,32.152046,-94.337111
Casa Blanca,0.034,88263,26.297641,-98.610251
Casas,0.009,23259,26.475341,-98.933253
Cashion Community,1.897,4913028,34.036458,-98.508092
Castle Hills,2.469,6395105,29.524727,-98.519054
Castroville,3.546,9184967,29.359864,-98.854749
Catarina,3.763,9746198,28.350178,-99.615258
Cedar Creek,18.001,46622550,30.082341,-97.51112
Cedar Hill,35.788,92691560,32.584326,-96.958898
Cedar Park,25.573,66233307,30.510177,-97.818626
Cedar Point,0.905,2343200,30.801268,-95.078745
Celeste,1.344,3480590,33.289675,-96.19447
Celina,48.328,125170210,33.32296,-96.798821
Center,7.987,20686332,31.793092,-94.180287
Center Point,5.333,13813275,29.93455,-99.047785
Centerville,1.788,4631160,31.258315,-95.979399
Central Gardens,2.521,6529235,29.987973,-94.021651
César Chávez,2.386,6180531,26.310953,-98.111875
Chandler,6.068,15715455,32.30688,-95.473689
Channel view,14.41,37320450,29.793023,-95.114482
Channing,0.992,2569651,35.681901,-102.332244
Chaparrito,0.096,249812,26.340817,-98.735352
